,x,y,z,Domain,tag
0,-3.0,-0.5,-3.0,reg,1
1,-3.0,-0.5,-2.0,reg,2
2,-3.0,-0.5,-1.0,reg,3
3,-3.0,-0.5,0.0,reg,4
4,-3.0,0.5,-3.0,reg,5
5,-3.0,0.5,-2.0,reg,6
6,-3.0,0.5,-1.0,reg,7
7,-3.0,0.5,0.0,reg,8
8,-2.0,-0.5,-3.0,reg,9
9,-2.0,-0.5,-2.0,reg,10
10,-2.0,-0.5,-1.0,reg,11
11,-2.0,-0.5,0.0,reg,12
12,-2.0,0.5,-3.0,reg,13
13,-2.0,0.5,-2.0,reg,14
14,-2.0,0.5,-1.0,reg,15
15,-2.0,0.5,0.0,reg,16
16,-1.0,-0.5,-3.0,reg,17
17,-1.0,-0.5,-2.0,reg,18
18,-1.0,-0.5,-1.0,reg,19
19,-1.0,-0.5,0.0,reg,20
20,-1.0,0.5,-3.0,reg,21
21,-1.0,0.5,-2.0,reg,22
22,-1.0,0.5,-1.0,reg,23
23,-1.0,0.5,0.0,reg,24
24,0.0,-0.5,-3.0,reg,25
25,0.0,-0.5,-2.0,reg,26
26,0.0,-0.5,-1.0,reg,27
27,0.0,-0.5,0.0,reg,28
28,0.0,0.5,-3.0,reg,29
29,0.0,0.5,-2.0,reg,30
30,0.0,0.5,-1.0,reg,31
31,0.0,0.5,0.0,reg,32
32,1.0,-0.5,-3.0,reg,33
33,1.0,-0.5,-2.0,reg,34
34,1.0,-0.5,-1.0,reg,35
35,1.0,-0.5,0.0,reg,36
36,1.0,0.5,-3.0,reg,37
37,1.0,0.5,-2.0,reg,38
38,1.0,0.5,-1.0,reg,39
39,1.0,0.5,0.0,reg,40
40,2.0,-0.5,-3.0,reg,41
41,2.0,-0.5,-2.0,reg,42
42,2.0,-0.5,-1.0,reg,43
43,2.0,-0.5,0.0,reg,44
44,2.0,0.5,-3.0,reg,45
45,2.0,0.5,-2.0,reg,46
46,2.0,0.5,-1.0,reg,47
47,2.0,0.5,0.0,reg,48
48,3.0,-0.5,-3.0,reg,49
